X Y EX EY
        6570   -0.0803345            5         0.05
        6585   -0.0787845            5         0.05
        6600   -0.0775413            5         0.05
        6615   -0.0764714            5         0.05
        6630   -0.0755842            5         0.05
        6645   -0.0744263            5         0.05
        6660   -0.0740076            5         0.05
        6675   -0.0734915            5         0.05
        6690   -0.0734721            5         0.05
        6705   -0.0717119            5         0.05
        6720    -0.067498            5         0.05
